>LbrM03_V2.0010  | Leishmania braziliensis | hypotherical TATE DNA transposon ortholog | protein  | length=270
>LbrM03_V2.0020  | Leishmania braziliensis | hypotherical TATE DNA transposon ortholog | protein  | length=181
>LbrM05_V2.1240  | Leishmania braziliensis | hypotherical TATE DNA transposon ortholog | protein  | length=1531
>LbrM07_V2.0500  | Leishmania braziliensis | hypotherical TATE DNA transposon ortholog | protein| length=2052
>LbrM07_V2.0510  | Leishmania braziliensis | hypotherical TATE DNA transposon ortholog | protein  | length=163
>LbrM09_V2.0200  | Leishmania braziliensis | hypotherical TATE DNA transposon ortholog | protein  | length=112
>LbrM11_V2.1160  | Leishmania braziliensis | TATE DNA transposons,DNA transposon | protein  | length=1311
>LbrM11_V2.1170  | Leishmania braziliensis | TATE DNA transposons | protein  | length=2026
>LbrM12_V2.0010  | Leishmania braziliensis | hypotherical TATE DNA transposon ortholog | protein  | length=328
>LbrM13_V2.1570  | Leishmania braziliensis | hypotherical TATE DNA transposon ortholog | protein  | length=378
>LbrM18_V2.0010  | Leishmania braziliensis | TATE DNA Transposon | protein  | length=629
>LbrM20_V2.6070  | Leishmania braziliensis | TATE DNA Transposon | protein  | length=1649
>LbrM20_V2.6080  | Leishmania braziliensis | TATE DNA Transposon | protein  | length=1502
>LbrM20_V2.6090  | Leishmania braziliensis | TATE DNA Transposon | protein  | length=1470
>LbrM20_V2.6110  | Leishmania braziliensis | TATE DNA Transposon | protein  | length=1722
>LbrM20_V2.6120  | Leishmania braziliensis |hypotherical TATE DNA transposon ortholog | protein  | length=1604
>LbrM20_V2.6140  | Leishmania braziliensis | TATE DNA Transposon | protein  | length=1486
>LbrM24_V2.2430  | Leishmania braziliensis | TATE DNA Transposon | protein  | length=1640
>LbrM25_V2.2600  | Leishmania braziliensis | TATE DNA Transposon | protein  | length=1831
>LbrM25_V2.2610  | Leishmania braziliensis | TATE DNA Transposon | protein  | length=1115
>LbrM25_V2.2620  | Leishmania braziliensis | TATE DNA Transposon | protein  | length=928
>LbrM26_V2.2650  | Leishmania braziliensis | TATE DNA transposons | protein  | length=1334
>LbrM27_V2.0010  | Leishmania braziliensis | TATE DNA Transposon | protein  | length=1653
>LbrM28_V2.0010  | Leishmania braziliensis | TATE DNA transposons | protein  | length=2006
>LbrM29_V2.0010  | Leishmania braziliensis | TATE DNA Transposon | protein  | length=953
>LbrM30_V2.0460  | Leishmania braziliensis | TATE DNA Transposon | protein  | length=1343
>LbrM30_V2.3190  | Leishmania braziliensis | TATE DNA transposons | protein  | length=2107
>LbrM30_V2.3200  | Leishmania braziliensis | TATE DNA Transposon | protein  | length=1634
>LbrM30_V2.3210  | Leishmania braziliensis | TATE DNA transposons | protein  | length=1397
>LbrM30_V2.3220  | Leishmania braziliensis | TATE DNA transposons | protein  | length=953
>LbrM30_V2.3780  | Leishmania braziliensis | TATE DNA transposons | protein  | length=629
>LbrM30_V2.3790  | Leishmania braziliensis | TATE DNA transposons | protein  | length=2062
>LbrM30_V2.3800  | Leishmania braziliensis | TATE DNA transposons | protein  | length=1336
>LbrM31_V2.1860  | Leishmania braziliensis | TATE DNA Transposon | protein  | length=1639
>LbrM32_V2.0010  | Leishmania braziliensis | TATE DNA Transposon | protein  | length=1617
>LbrM32_V2.0040  | Leishmania braziliensis | TATE DNA Transposon | protein  | length=767
>LbrM34_V2.0020  | Leishmania braziliensis | TATE DNA Transposon | protein  | length=914
>LbrM34_V2.2200  | Leishmania braziliensis | TATE DNA transposons | protein  | length=1639
>LbrM34_V2.5340  | Leishmania braziliensis | TATE DNA transposons | protein  | length=1870
>LbrM35_V2.0030  | Leishmania braziliensis | TATE DNA Transposon | protein  | length=1639
>LbrM02_V2.0550  | Leishmania braziliensis | Retrotransposable element SLACS | protein  | length=1148
>LbrM02_V2.0690  | Leishmania braziliensis | SLACS like gene retrotransposon element | protein  | length=527
>LbrM02_V2.0700  | Leishmania braziliensis | hypotherical SLACS ortholog | protein  | length=318
>LbrM02_V2.0720  | Leishmania braziliensis | SLACS like gene retrotransposon element | protein  | length=251
>LbrM02_V2.0750  | Leishmania braziliensis | SLACS like gene retrotransposon element | protein  | length=1871
>LbrM02_V2.0760  | Leishmania braziliensis | SLACS like gene retrotransposon element | protein  | length=438
>LbrM02_V2.0770  | Leishmania braziliensis | repeat gene hypothetical SLACS ortholog | protein  | length=399
>LbrM08_V2.0700  | Leishmania braziliensis | SLACS | protein  | length=1783
>LbrM16_V2.0460  | Leishmania braziliensis | hypotherical SLACS ortholog | protein  | length=1426
>LbrM16_V2.0470  | Leishmania braziliensis | hypotherical SLACS ortholog | protein  | length=1159
>LbrM16_V2.0780  | Leishmania braziliensis | hypotherical SLACS ortholog | protein  | length=978
>LbrM16_V2.0790  | Leishmania braziliensis | hypotherical SLACS ortholog | protein  | length=1049
>LbrM16_V2.1730  | Leishmania braziliensis | hypotherical SLACS ortholog | protein  | length=854
>LbrM16_V2.1740  | Leishmania braziliensis | hypotherical SLACS ortholog | protein  | length=1613
>LbrM25_V2.2630  | Leishmania braziliensis | hypothetical SLACS ortholog | protein  | length=230
>Tb09.244.2890  | Trypanosoma brucei TREU927 | SLACS reverse transcriptase, putative | protein  | length=459
>Tb09.211.5010  | Trypanosoma brucei TREU927 | SLACS retrotransposable element (part), putative | protein  | length=1116
>Tb09.211.5015  | Trypanosoma brucei TREU927 | SLACS reverse transcriptase, putative | protein  | length=636
>Tb.P15594 | Trypanosoma brucei gambiense | Retrotransposable element SLACS | protein | length=1182 
>Tcruzi.ORF.M62862 | Trypanosoma cruzi Gainesville | CZAR gag ORF M62862 | protein | length=386
>Tcruzi.ORF.M62862.1 | Trypanosoma cruzi | reverse transcriptase endonuclease, CZAR RT | protein | length=1317
>CAD21861.1|Trypanosoma brucei| ingi H25N7.04 |protein| length=1657
>CAD21860.1|Trypanosoma brucei| ingi H25N7.03 |protein| length=1657
>AFN16293.1| Trypanosoma cruzi| L1Tc protein |protein|length=1524
>AAC14071.1| Trypanosoma cruzi| VIPER |protein|length=425
>AAB40036.1| Crithidia fasciculata | putative CRE2 reverse transcriptase | protein | length=2517
