>Tb09.211.5010  | Trypanosoma brucei TREU927 | SLACS retrotransposable element (part), putative | CDS  | length=3351
>Tb09.211.5015  | Trypanosoma brucei TREU927 | SLACS reverse transcriptase, putative | CDS  | length=1911
>Tb09.244.2890  | Trypanosoma brucei TREU927 | SLACS reverse transcriptase, putative | CDS  | length=1380
>LbrM.02.0550  | Leishmania braziliensis | Retrotransposable element SLACS | CDS  | length=3447
>LbrM.02.0690  | Leishmania braziliensis | SLACS like gene retrotransposon element | CDS  | length=1581
>LbrM.02.0700  | Leishmania braziliensis | hypothetical protein | CDS  | length=957
>LbrM.02.0720  | Leishmania braziliensis | SLACS like gene retrotransposon element | CDS  | length=756
>LbrM.02.0750  | Leishmania braziliensis | SLACS like gene retrotransposon element | CDS  | length=5613
>LbrM.02.0760  | Leishmania braziliensis | SLACS like gene retrotransposon element | CDS  | length=1314
>LbrM.02.0770  | Leishmania braziliensis | repeat gene hypothetical protein | CDS  | length=1200
>LbrM.03.0010  | Leishmania braziliensis | hypothetical protein | CDS  | length=810
>LbrM.03.0020  | Leishmania braziliensis | hypothetical protein | CDS  | length=546
>LbrM.05.1240  | Leishmania braziliensis | hypothetical protein | CDS  | length=4596
>LbrM.07.0500  | Leishmania braziliensis | hypothetical protein | CDS  | length=6159
>LbrM.07.0510  | Leishmania braziliensis | hypothetical protein | CDS  | length=492
>LbrM.08.0700  | Leishmania braziliensis | SLACS | CDS  | length=5352
>LbrM.09.0200  | Leishmania braziliensis | hypothetical protein | CDS  | length=339
>LbrM.11.0360  | Leishmania braziliensis | hypothetical protein, unknown function | CDS  | length=2697
>LbrM.11.1160  | Leishmania braziliensis | TATE DNA transposons,DNA transposon | CDS  | length=3936
>LbrM.11.1170  | Leishmania braziliensis | TATE DNA transposons | CDS  | length=6075
>LbrM.12.0010  | Leishmania braziliensis | hypothetical protein | CDS  | length=987
>LbrM.13.1570  | Leishmania braziliensis | hypothetical protein | CDS  | length=1137
>LbrM.16.0460  | Leishmania braziliensis | hypothetical protein | CDS  | length=4278
>LbrM.16.0470  | Leishmania braziliensis | hypothetical protein | CDS  | length=3480
>LbrM.16.0780  | Leishmania braziliensis | hypothetical protein | CDS  | length=2934
>LbrM.16.0790  | Leishmania braziliensis | hypothetical protein | CDS  | length=3150
>LbrM.16.1730  | Leishmania braziliensis | hypothetical protein | CDS  | length=2565
>LbrM.16.1740  | Leishmania braziliensis | hypothetical protein | CDS  | length=4839
>LbrM.18.0010  | Leishmania braziliensis | TATE DNA Transposon | CDS  | length=1890
>LbrM.20.6070  | Leishmania braziliensis | TATE DNA Transposon | CDS  | length=4950
>LbrM.20.6080  | Leishmania braziliensis | TATE DNA Transposon | CDS  | length=4509
>LbrM.20.6090  | Leishmania braziliensis | TATE DNA Transposon | CDS  | length=4413
>LbrM.20.6110  | Leishmania braziliensis | TATE DNA Transposon | CDS  | length=5169
>LbrM.20.6120  | Leishmania braziliensis | unspecified product | CDS  | length=4815
>LbrM.20.6140  | Leishmania braziliensis | TATE DNA Transposon | CDS  | length=4461
>LbrM.23.0390  | Leishmania braziliensis | RNase III domain gene | CDS  | length=6645
>LbrM.24.2430  | Leishmania braziliensis | TATE DNA Transposon | CDS  | length=4920
>LbrM.25.1020  | Leishmania braziliensis | hypothetical protein, unlikely | CDS  | length=3993
>LbrM.25.2600  | Leishmania braziliensis | TATE DNA Transposon | CDS  | length=5496
>LbrM.25.2610  | Leishmania braziliensis | TATE DNA Transposon | CDS  | length=3348
>LbrM.25.2620  | Leishmania braziliensis | TATE DNA Transposon | CDS  | length=2787
>LbrM.25.2630  | Leishmania braziliensis | hypothetical protein | CDS  | length=693
>LbrM.26.2650  | Leishmania braziliensis | TATE DNA transposons | CDS  | length=4002
>LbrM.27.0010  | Leishmania braziliensis | TATE DNA Transposon | CDS  | length=4962
>LbrM.28.0010  | Leishmania braziliensis | TATE DNA transposons | CDS  | length=6021
>LbrM.29.0010  | Leishmania braziliensis | TATE DNA Transposon | CDS  | length=2859
>LbrM.30.0460  | Leishmania braziliensis | TATE DNA Transposon | CDS  | length=4032
>LbrM.30.3190  | Leishmania braziliensis | TATE DNA transposons | CDS  | length=6324
>LbrM.30.3200  | Leishmania braziliensis | TATE DNA Transposon | CDS  | length=4905
>LbrM.30.3210  | Leishmania braziliensis | TATE DNA transposons | CDS  | length=4194
>LbrM.30.3220  | Leishmania braziliensis | TATE DNA transposons | CDS  | length=2862
>LbrM.30.3780  | Leishmania braziliensis | TATE DNA transposons | CDS  | length=1890
>LbrM.30.3790  | Leishmania braziliensis | TATE DNA transposons | CDS  | length=6189
>LbrM.30.3800  | Leishmania braziliensis | TATE DNA transposons | CDS  | length=4011
>LbrM.31.1860  | Leishmania braziliensis | TATE DNA Transposon | CDS  | length=4920
>LbrM.32.0010  | Leishmania braziliensis | TATE DNA Transposon | CDS  | length=4854
>LbrM.32.0040  | Leishmania braziliensis | TATE DNA Transposon | CDS  | length=2304
>LbrM.34.0020  | Leishmania braziliensis | TATE DNA Transposon | CDS  | length=2727
>LbrM.34.2200  | Leishmania braziliensis | TATE DNA transposons | CDS  | length=4920
>LbrM.34.5340  | Leishmania braziliensis | TATE DNA transposons | CDS  | length=5613
>LbrM.35.0030  | Leishmania braziliensis | TATE DNA Transposon | CDS  | length=4920
